eventid,iyear,imonth,country_txt,region_txt,city,latitude,longitude,nkill,nwound
202106060009,2021,6,Afghanistan,South Asia,Ibrahim Khil,33.534444,69.139167,4,0
202106060010,2021,6,Afghanistan,South Asia,Obe district,34.272818,63.108966,1,2
202106060011,2021,6,Afghanistan,South Asia,Ab Kamari district,35.077911,62.873525,3,0
202106060012,2021,6,Afghanistan,South Asia,Sayed Abad,34.23,62.811667,11,0
202106060013,2021,6,Afghanistan,South Asia,Kohi,35.703277,64.304715,20,0
202106060016,2021,6,Iraq,Middle East & North Africa,Al-Baghdadi,33.797419,42.450687,0,0
202106060018,2021,6,Canada,North America,London,42.994756,-81.330341,4,1
202106060019,2021,6,Nigeria,Sub-Saharan Africa,Odugbeho,7.799995,8.034304,40,0
202106060020,2021,6,India,South Asia,Bhatpara,22.853576,88.391163,1,3
202106060021,2021,6,Mexico,North America,Los Mochis,25.782368,-108.98508,0,1
202106060030,2021,6,Mexico,North America,Goros Numero Dos,25.876948,-109.04457,0,0
202106060031,2021,6,Mexico,North America,Ahome,25.912778,-109.162536,0,0
202106060032,2021,6,Mexico,North America,Ahome,25.912778,-109.162536,0,0
202106060033,2021,6,Mexico,North America,Nuevo San Miguel,25.96626,-109.054373,0,0
202106060034,2021,6,Mexico,North America,Nuevo San Miguel,25.96626,-109.054373,0,0
202106060035,2021,6,Mexico,North America,Nuevo San Miguel,25.96626,-109.054373,0,0
202106060036,2021,6,Mexico,North America,Nuevo San Miguel,25.96626,-109.054373,0,0
202106060037,2021,6,Mexico,North America,Chavez Talamantes,26.333465,-109.028088,0,0
202106060038,2021,6,Mexico,North America,Bachomobampo Numero Dos,25.738907,-109.14746,0,0
202106060039,2021,6,Mexico,North America,La Despensa,25.991076,-109.272483,0,0
202106060040,2021,6,Nigeria,Sub-Saharan Africa,Ubulu-Ihejiofor,5.742222,6.910833,0,0
202106060041,2021,6,Nigeria,Sub-Saharan Africa,Nnepi,5.742222,6.910833,0,0
202106060042,2021,6,Nigeria,Sub-Saharan Africa,Owerri,5.48134,7.032192,5,1
202106060044,2021,6,Afghanistan,South Asia,Kalkin,33.706199,69.383108,0,0
202106060045,2021,6,Philippines,Southeast Asia,Homapon,13.103862,123.742975,0,4
202106060046,2021,6,Philippines,Southeast Asia,Homapon,13.088334,123.743391,0,0
202106060047,2021,6,Philippines,Southeast Asia,Anas,12.427962,123.563229,2,1
202106060050,2021,6,Yemen,Middle East & North Africa,Unknown,13.804983,44.775642,0,2
202106060051,2021,6,Afghanistan,South Asia,Chora district,32.838443,66.024862,4,7
202106060053,2021,6,Nigeria,Sub-Saharan Africa,Ashaka,5.639587,6.39975,0,0
202106060058,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Samboko Chani-Chani,0.996195,29.35508,15,0
202106060059,2021,6,Mexico,North America,Ciudad del Carmen,18.645352,-91.786517,0,0
202106060062,2021,6,Afghanistan,South Asia,Bannu,35.633333,69.26,7,8
202106060063,2021,6,Afghanistan,South Asia,Dahana-i-Ghuri district,35.733036,68.667803,0,0
202106060066,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Mutuweyi,0.605907,29.314369,9,0
202106070001,2021,6,Afghanistan,South Asia,Ab Band district,32.850818,68.190836,22,7
202106070002,2021,6,Afghanistan,South Asia,Dawlatabad district,36.412544,64.894095,2,2
202106070003,2021,6,Afghanistan,South Asia,Muqur district,32.95852,67.790433,7,0
202106070004,2021,6,Afghanistan,South Asia,Hafizan,37.049444,69.734167,12,8
202106070006,2021,6,Afghanistan,South Asia,Khamshur,34.482252,66.272418,4,2
202106070009,2021,6,Afghanistan,South Asia,Gizab district,33.429015,66.212918,4,7
202106070010,2021,6,Niger,Sub-Saharan Africa,Mbanga,13.602701,1.565716,0,0
202106070013,2021,6,India,South Asia,Androla,33.242296,74.305955,0,0
202106070014,2021,6,India,South Asia,Saimu,33.898395,75.105698,0,0
202106070017,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Kinyanjojo,1.875452,29.045993,15,1
202106070018,2021,6,Democratic Republic of the Congo,Sub-Saharan Africa,Boga,1.049722,29.9275,15,0
